==============================================================================
ReFS Object ID Table
==============================================================================
  Image:            win11refstestmftecmd.raw
  Partition start:  0x1000000
  Cluster size:     0x1000
  ReFS version:     3.14
  CPC:              0x4000 (shift=15)
  Container entries:63
  OID Table root:   [0x13c04, 0x13c05, 0x13c06, 0x13c07]
  OID Table phys:   [0x3c04, 0x3c05, 0x3c06, 0x3c07]

Total objects: 250

  OID      Name                             Root LCN Physical LCN    Sig Extra
  ----------------------------------------------------------------------------
  0x7e2    Directory/File (0x7e2)            0x10a24        0xa24   MSB+    +8
  0x7e3    Directory/File (0x7e3)            0x10610        0x610   MSB+    +8
  0x7e4    Directory/File (0x7e4)            0x10604        0x604   MSB+    +8
  0x7e5    Directory/File (0x7e5)            0x13834       0x3834   MSB+    +8
  0x7e6    Directory/File (0x7e6)            0x11e18       0x1e18   MSB+    +8
  0x7e7    Directory/File (0x7e7)            0x12238       0x2238   MSB+    +8
  0x7e8    Directory/File (0x7e8)            0x11024       0x1024   MSB+    +8
  0x7e9    Directory/File (0x7e9)            0x1060c        0x60c   MSB+    +8
  0x7ea    Directory/File (0x7ea)            0x11208       0x1208   MSB+    +8
  0x7eb    Directory/File (0x7eb)            0x10838        0x838   MSB+    +8
  0x7ec    Directory/File (0x7ec)            0x10068         0x68   MSB+    +8
  0x7ed    Directory/File (0x7ed)            0x1240c       0x240c   MSB+    +8
  0x7ee    Directory/File (0x7ee)            0x10220        0x220   MSB+    +8
  0x7ef    Directory/File (0x7ef)            0x13a18       0x3a18   MSB+    +8
  0x7f0    Directory/File (0x7f0)            0x1160c       0x160c   MSB+    +8
  0x7f1    Directory/File (0x7f1)            0x1143c       0x143c   MSB+    +8
  0x7f2    Directory/File (0x7f2)            0x13830       0x3830   MSB+    +8
  0x7f3    Directory/File (0x7f3)            0x11018       0x1018   MSB+    +8
  0x7f4    Directory/File (0x7f4)            0x11c0c       0x1c0c   MSB+    +8
  0x7f5    Directory/File (0x7f5)            0x12634       0x2634   MSB+    +8
  0x7f7    Directory/File (0x7f7)            0x10a1c        0xa1c   MSB+    +8
  0x7f8    Directory/File (0x7f8)            0x12240       0x2240   MSB+    +8
  0x7f9    Directory/File (0x7f9)            0x10e1c        0xe1c   MSB+    +8
  0x7fa    Directory/File (0x7fa)            0x13a44       0x3a44   MSB+    +8
  0x7fb    Directory/File (0x7fb)            0x10060         0x60   MSB+    +8
  0x7fc    Directory/File (0x7fc)            0x13e34       0x3e34   MSB+    +8
