==============================================================================
ReFS Directory Tree
==============================================================================
  Image:           win11refstestmftecmd.raw
  ReFS version:    3.14
  Cluster size:    0x1000
  Objects:         250
  Start OID:       0x600
  Start name:      Root Directory

  Total entries:   1744 (237 directories, 1507 files, 84 ADS)

  Type  OID          Attrs            Size Modified             Path
  FILE  0x74c        ARCHIVE        130777 2026-05-23 07:34:02  test/elvis_dir_india_800575/xbpt_foxtrot_zulu_156856.csv
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:03  test/elvis_dir_india_800575/xbpt_kilo_config_292054.json
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:06  test/elvis_dir_india_800575/xbpt_large_2mb_report_507726.txt
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:05  test/elvis_dir_india_800575/xbpt_log_beta_973172.txt
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:04  test/elvis_dir_india_800575/xbpt_oscar_backup_284025.json
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:03  test/elvis_dir_india_800575/xbpt_output_config_975939.bak
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:04  test/elvis_dir_india_800575/xbpt_output_victor_198806.ini
  FILE  (resident)   ARCHIVE             0 2022-02-07 07:16:33  test/elvis_dir_india_800575/xbpt_report_temp_854937.tmp
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:00  test/elvis_dir_india_800575/xbpt_sierra_beta_228555.dat
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:04  test/elvis_dir_india_800575/xbpt_sierra_data_271533.bin
  FILE  0x73f        ARCHIVE        145250 2026-05-23 07:34:00  test/elvis_dir_india_800575/xbpt_uniform_lima_155750.md
  DIR   0x762        DIRECTORY             2026-05-23 07:34:05  test/elvis_dir_papa_805353
  DIR   0x74d        DIRECTORY             2026-05-23 07:34:06  test/elvis_dir_papa_805353/elvis_dir_november_478580
  DIR   0x776        DIRECTORY             2026-05-23 07:34:05  test/elvis_dir_papa_805353/elvis_dir_november_478580/elvis_dir_kilo_751807
  FILE  0x73f        ARCHIVE        100455 2026-05-23 07:34:03  test/elvis_dir_papa_805353/elvis_dir_november_478580/elvis_dir_kilo_751807/xbpt_delta_zulu_595944.bak
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:03  test/elvis_dir_papa_805353/elvis_dir_november_478580/elvis_dir_kilo_751807/xbpt_temp_backup_816270.cfg
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:03  test/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_alpha_cache_742120.dat
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:00  test/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_archive_trace_798923.cfg
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:04  test/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_audit_sync_528794.xml
  FILE  0x73f        ARCHIVE        140609 2026-05-23 07:34:00  test/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_backup_mike_407434.log
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:04  test/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_beta_echo_977425.bin
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:04  test/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_config_log_890790.bak
  FILE  (resident)   ARCHIVE             0 2024-01-13 07:17:04  test/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_delta_echo_268401.csv
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:02  test/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_delta_report_275249.dat
  FILE  0x74c        ARCHIVE        237968 2026-05-23 07:34:05  test/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_hardlink_echo_387599.ini
  FILE  0x74e        ARCHIVE        239973 2026-05-23 07:34:01  test/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_hotel_kilo_705007.cfg
  FILE  0x76c        ARCHIVE        113106 2026-05-23 07:34:04  test/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_index_index_579494.cfg
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:05  test/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_kilo_output_350111.log
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:03  test/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_lima_temp_514782.csv
  FILE  (resident)   ARCHIVE             0 2025-07-16 07:17:35  test/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_lima_victor_941030.cfg
  FILE  0x74e        ARCHIVE        123468 2026-05-23 07:34:04  test/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_log_output_579275.dat
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:05  test/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_oscar_archive_384713.txt
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:04  test/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_oscar_foxtrot_635028.xml
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:04  test/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_papa_index_238422.csv
  FILE  0x73f        ARCHIVE         30711 2026-05-23 07:34:05  test/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_quebec_papa_978800.txt
  FILE  0x752        ARCHIVE        546650 2026-05-23 07:34:01  test/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_sierra_echo_921063.xml
