
ReFS Parent-Child Table

------------------------------------------------------------------------------
Parent-Child Relationships
------------------------------------------------------------------------------
  Total entries:      238
  Unique parents:     111
  Unique children:    238
  Unique OIDs:        239
  Tree roots:         0x600

  Parent         → Child            Parent Name               → Child Name
  0x820          → 0x882            Object 0x820              → Object 0x882
  0x821          → 0x847            Object 0x821              → Object 0x847
  0x822          → 0x886            Object 0x822              → Object 0x886
  0x824          → 0x846            Object 0x824              → Object 0x846
  0x824          → 0x84f            Object 0x824              → Object 0x84f
  0x826          → 0x828            Object 0x826              → Object 0x828
  0x829          → 0x836            Object 0x829              → Object 0x836
  0x82a          → 0x821            Object 0x82a              → Object 0x821
  0x82a          → 0x838            Object 0x82a              → Object 0x838
  0x82a          → 0x85c            Object 0x82a              → Object 0x85c
  0x82d          → 0x832            Object 0x82d              → Object 0x832
  0x82d          → 0x83c            Object 0x82d              → Object 0x83c
  0x82d          → 0x877            Object 0x82d              → Object 0x877
  0x82f          → 0x826            Object 0x82f              → Object 0x826
  0x832          → 0x84a            Object 0x832              → Object 0x84a
  0x832          → 0x857            Object 0x832              → Object 0x857
  0x832          → 0x86e            Object 0x832              → Object 0x86e
  0x835          → 0x81e            Object 0x835              → Object 0x81e
  0x836          → 0x840            Object 0x836              → Object 0x840
  0x83a          → 0x85f            Object 0x83a              → Object 0x85f
  0x83c          → 0x860            Object 0x83c              → Object 0x860
  0x83c          → 0x86c            Object 0x83c              → Object 0x86c
  0x841          → 0x84c            Object 0x841              → Object 0x84c
  0x841          → 0x862            Object 0x841              → Object 0x862
  0x841          → 0x86b            Object 0x841              → Object 0x86b
  0x846          → 0x859            Object 0x846              → Object 0x859
  0x846          → 0x85e            Object 0x846              → Object 0x85e
  0x848          → 0x87f            Object 0x848              → Object 0x87f
  0x84a          → 0x830            Object 0x84a              → Object 0x830
  0x84a          → 0x851            Object 0x84a              → Object 0x851
  0x84c          → 0x820            Object 0x84c              → Object 0x820
  0x855          → 0x86a            Object 0x855              → Object 0x86a
  0x855          → 0x87e            Object 0x855              → Object 0x87e
  0x856          → 0x829            Object 0x856              → Object 0x829
  0x856          → 0x866            Object 0x856              → Object 0x866
  0x856          → 0x86d            Object 0x856              → Object 0x86d
  0x861          → 0x863            Object 0x861              → Object 0x863
  0x861          → 0x865            Object 0x861              → Object 0x865
  0x862          → 0x873            Object 0x862              → Object 0x873
  0x863          → 0x870            Object 0x863              → Object 0x870
  0x865          → 0x87a            Object 0x865              → Object 0x87a
  0x869          → 0x871            Object 0x869              → Object 0x871
  0x86b          → 0x87c            Object 0x86b              → Object 0x87c
  0x870          → 0x87d            Object 0x870              → Object 0x87d
  0x872          → 0x879            Object 0x872              → Object 0x879
  0x873          → 0x875            Object 0x873              → Object 0x875
  0x873          → 0x881            Object 0x873              → Object 0x881
  0x879          → 0x87b            Object 0x879              → Object 0x87b
  0x87b          → 0x887            Object 0x87b              → Object 0x887
  0x884          → 0x885            Object 0x884              → Object 0x885
