==============================================================================
ReFS Object ID Table
==============================================================================
  Image:            win11refs2tspecials.raw
  Partition start:  0x1000000
  Cluster size:     0x1000
  ReFS version:     3.14
  CPC:              0x4000 (shift=15)
  Container entries:32767
  OID Table root:   [0x11610, 0x11611, 0x11612, 0x11613]
  OID Table phys:   [0x1610, 0x1611, 0x1612, 0x1613]

Total objects: 230

  OID      Name                             Root LCN Physical LCN    Sig Extra
  ----------------------------------------------------------------------------
  0x790    Directory/File (0x790)            0x11424       0x1424   MSB+    +8
  0x791    Directory/File (0x791)            0x10804        0x804   MSB+    +8
  0x794    Directory/File (0x794)            0x11a30       0x1a30   MSB+    +8
  0x795    Directory/File (0x795)            0x1020c        0x20c   MSB+    +8
  0x797    Directory/File (0x797)            0x12824       0x2824   MSB+    +8
  0x798    Directory/File (0x798)            0x10c38        0xc38   MSB+    +8
  0x799    Directory/File (0x799)            0x11810       0x1810   MSB+    +8
  0x79b    Directory/File (0x79b)            0x12a18       0x2a18   MSB+    +8
  0x79c    Directory/File (0x79c)            0x1041c        0x41c   MSB+    +8
  0x79d    Directory/File (0x79d)            0x12818       0x2818   MSB+    +8
  0x79f    Directory/File (0x79f)            0x13824       0x3824   MSB+    +8
  0x7a1    Directory/File (0x7a1)            0x10200        0x200   MSB+    +8
  0x7a2    Directory/File (0x7a2)            0x1100c       0x100c   MSB+    +8
  0x7a3    Directory/File (0x7a3)            0x11e00       0x1e00   MSB+    +8
  0x7a4    Directory/File (0x7a4)            0x12404       0x2404   MSB+    +8
  0x7a6    Directory/File (0x7a6)            0x13430       0x3430   MSB+    +8
  0x7a7    Directory/File (0x7a7)            0x10e20        0xe20   MSB+    +8
  0x7a8    Directory/File (0x7a8)            0x1382c       0x382c   MSB+    +8
  0x7a9    Directory/File (0x7a9)            0x11400       0x1400   MSB+    +8
  0x7ab    Directory/File (0x7ab)            0x11604       0x1604   MSB+    +8
  0x7ac    Directory/File (0x7ac)            0x10040         0x40   MSB+    +8
  0x7ad    Directory/File (0x7ad)            0x12020       0x2020   MSB+    +8
  0x7ae    Directory/File (0x7ae)            0x12028       0x2028   MSB+    +8
  0x7af    Directory/File (0x7af)            0x11224       0x1224   MSB+    +8
  0x7b0    Directory/File (0x7b0)            0x12010       0x2010   MSB+    +8
  0x7b2    Directory/File (0x7b2)            0x12000       0x2000   MSB+    +8
  0x7b3    Directory/File (0x7b3)            0x100d0         0xd0   MSB+    +8
  0x7b4    Directory/File (0x7b4)            0x10600        0x600   MSB+    +8
  0x7b5    Directory/File (0x7b5)            0x11450       0x1450   MSB+    +8
  0x7b6    Directory/File (0x7b6)            0x12e4c       0x2e4c   MSB+    +8
  0x7b7    Directory/File (0x7b7)            0x11c18       0x1c18   MSB+    +8
  0x7b8    Directory/File (0x7b8)            0x12018       0x2018   MSB+    +8
  0x7b9    Directory/File (0x7b9)            0x1260c       0x260c   MSB+    +8
  0x7ba    Directory/File (0x7ba)            0x1140c       0x140c   MSB+    +8
  0x7bb    Directory/File (0x7bb)            0x11448       0x1448   MSB+    +8
  0x7bd    Directory/File (0x7bd)            0x10218        0x218   MSB+    +8
  0x7be    Directory/File (0x7be)            0x12030       0x2030   MSB+    +8
  0x7bf    Directory/File (0x7bf)            0x12c08       0x2c08   MSB+    +8
  0x7c1    Directory/File (0x7c1)            0x11204       0x1204   MSB+    +8
  0x7c2    Directory/File (0x7c2)            0x100c0         0xc0   MSB+    +8
  0x7c3    Directory/File (0x7c3)            0x11a28       0x1a28   MSB+    +8
  0x7c4    Directory/File (0x7c4)            0x11614       0x1614   MSB+    +8
  0x7c5    Directory/File (0x7c5)            0x1180c       0x180c   MSB+    +8
  0x7c6    Directory/File (0x7c6)            0x1322c       0x322c   MSB+    +8
  0x7c7    Directory/File (0x7c7)            0x12410       0x2410   MSB+    +8
  0x7c8    Directory/File (0x7c8)            0x12a04       0x2a04   MSB+    +8
  0x7c9    Directory/File (0x7c9)            0x12c30       0x2c30   MSB+    +8
  0x7ca    Directory/File (0x7ca)            0x11a40       0x1a40   MSB+    +8
  0x7cb    Directory/File (0x7cb)            0x100c8         0xc8   MSB+    +8
