
ReFS Object ID Table

Total objects: 230

  OID      Name                             Root LCN
  0x7e2    Directory/File (0x7e2)            0x13a04
  0x7e3    Directory/File (0x7e3)            0x10a04
  0x7e4    Directory/File (0x7e4)            0x11000
  0x7e5    Directory/File (0x7e5)            0x11828
  0x7e6    Directory/File (0x7e6)            0x1242c
  0x7e7    Directory/File (0x7e7)            0x11648
  0x7e9    Directory/File (0x7e9)            0x13240
  0x7ea    Directory/File (0x7ea)            0x10e28
  0x7eb    Directory/File (0x7eb)            0x1323c
  0x7ee    Directory/File (0x7ee)            0x1162c
  0x7f0    Directory/File (0x7f0)            0x11428
  0x7f2    Directory/File (0x7f2)            0x13238
  0x7f3    Directory/File (0x7f3)            0x10c08
  0x7f4    Directory/File (0x7f4)            0x10e34
  0x7f5    Directory/File (0x7f5)            0x13e34
  0x7f8    Directory/File (0x7f8)            0x11644
  0x7fa    Directory/File (0x7fa)            0x12630
  0x7fb    Directory/File (0x7fb)            0x12e28
  0x7fc    Directory/File (0x7fc)            0x11824
  0x7fd    Directory/File (0x7fd)            0x12c44
  0x804    Directory/File (0x804)            0x11430
  0x805    Directory/File (0x805)            0x13628
  0x806    Directory/File (0x806)            0x1083c
  0x807    Directory/File (0x807)            0x12a28
  0x808    Directory/File (0x808)            0x11830
  0x80d    Directory/File (0x80d)            0x12814
  0x80e    Directory/File (0x80e)            0x11640
  0x812    Directory/File (0x812)            0x10238
  0x813    Directory/File (0x813)            0x12228
  0x814    Directory/File (0x814)            0x1163c
  0x817    Directory/File (0x817)            0x10618
  0x81a    Directory/File (0x81a)            0x10620
  0x81c    Directory/File (0x81c)            0x13a24
  0x81d    Directory/File (0x81d)            0x11020
  0x81e    Directory/File (0x81e)            0x10430
