==============================================================================
ReFS MLog Analysis — win11refs2tspecials.raw
ReFS v3.14 | cluster_size=0x1000 | objects=230
==============================================================================

==============================================================================
MLog Control Area
==============================================================================
  Control PLCN:      0x30
  Signature:         MLog
  Format magic:      0x6dfbad7b (per-volume const, NOT a CRC — E42/#343; differs after a reformat)
  Version:           1
  Sector size:       0x1000
  UUID:              525a042c-58aa-4cca-a4f2-125f8bebb05f
  Sequence:          69
  Write counter:     2
  Flags:             0x1
  Total entries:     0
  Generation:        4995
  Data area:         0x8000 - 0x48000 (262144 clusters)
  LSN oldest:        0x1383.1
  Dispatch table:    v3.14 (44 opcodes)

==============================================================================
Data Area Summary
==============================================================================
  Total pages:       262144
  zero                 257150  ( 98.1%)
  MLog                   4994  (  1.9%)

==============================================================================
Redo Records
==============================================================================
  Total records:      7223
  Transaction starts: 2666
  Transaction commits: 0

     #  Opcode  Name                                             OID   Flags   Size
  ────  ──────  ────────────────────────────────────────  ──────────  ──────  ─────
   123  0x0007  RedoFree                                        0x11       S    328
   124  0x0007  RedoFree                                        0x11       S    328
   125  0x0007  RedoFree                                        0x11       S    328
   126  0x0007  RedoFree                                        0x11       S    328
   127  0x0007  RedoFree                                        0x11       S    328
   128  0x0007  RedoFree                                        0x11       S    328
   129  0x0007  RedoFree                                        0x11       S    328
   130  0x0007  RedoFree                                        0x11       S    328
   131  0x0007  RedoFree                                        0x11       S    328
   132  0x0007  RedoFree                                        0x11       S    328
   133  0x0007  RedoFree                                        0x11       S    328
   134  0x0007  RedoFree                                        0x11       S    328
   135  0x0007  RedoFree                                        0x11       S    328
   136  0x0007  RedoFree                                        0x11       S    328
   137  0x0007  RedoFree                                        0x11       S    328
   138  0x0007  RedoFree                                        0x11       S    328
   139  0x0007  RedoFree                                        0x11       S    328
   140  0x0007  RedoFree                                        0x11       S    328
   141  0x0007  RedoFree                                        0x11       S    328
   142  0x0007  RedoFree                                        0x11       S    328
   143  0x0007  RedoFree                                        0x11       S    328
   144  0x0007  RedoFree                                        0x11       S    328
   145  0x0007  RedoFree                                        0x11       S    328
   146  0x0007  RedoFree                                        0x11       S    328
   147  0x0007  RedoFree                                        0x11       S    328
   148  0x0007  RedoFree                                        0x11       S    328
   149  0x0007  RedoFree                                        0x11       S    328
   150  0x0007  RedoFree                                        0x11       S    328
   151  0x0007  RedoFree                                        0x11       S    328
   152  0x0007  RedoFree                                        0x11       S    328
   153  0x0007  RedoFree                                        0x11       S    328
   154  0x0007  RedoFree                                        0x11       S    328
   155  0x0007  RedoFree                                        0x11       S    328
   156  0x0007  RedoFree                                        0x11       S    328
   157  0x0007  RedoFree                                        0x11       S    328
   158  0x0007  RedoFree                                        0x11       S    328
   159  0x0007  RedoFree                                        0x11       S    328
   160  0x0007  RedoFree                                        0x11       S    328
   161  0x0007  RedoFree                                        0x11       S    328
   162  0x0007  RedoFree                                        0x11       S    328
   163  0x0007  RedoFree                                        0x11       S    328
   164  0x0007  RedoFree                                        0x11       S    328
   165  0x0007  RedoFree                                        0x11       S    328
   166  0x0007  RedoFree                                        0x11       S    328
   167  0x0007  RedoFree                                        0x11       S    328
   168  0x0007  RedoFree                                        0x11       S    328
   169  0x0007  RedoFree                                        0x11       S    328
   170  0x0007  RedoFree                                        0x11       S    328
   171  0x0007  RedoFree                                        0x11       S    328
   172  0x0007  RedoFree                                        0x11       S    328
   173  0x0007  RedoFree                                        0x11       S    328
   174  0x0007  RedoFree                                        0x11       S    328
   175  0x0007  RedoFree                                        0x11       S    328
   176  0x0007  RedoFree                                        0x11       S    328
   177  0x0007  RedoFree                                        0x11       S    328
   178  0x0007  RedoFree                                        0x11       S    328
   179  0x0007  RedoFree                                        0x11       S    328
   180  0x0007  RedoFree                                        0x11       S    328
   181  0x0007  RedoFree                                        0x11       S    328
   182  0x0007  RedoFree                                        0x11       S    328
   183  0x0007  RedoFree                                        0x11       S    328
   184  0x0007  RedoFree                                        0x11       S    328
   185  0x0007  RedoFree                                        0x11       S    328
   186  0x0007  RedoFree                                        0x11       S    328
   187  0x0007  RedoFree                                        0x11       S    328
   188  0x0007  RedoFree                                        0x11       S    328
   189  0x0007  RedoFree                                        0x11       S    328
   190  0x0007  RedoFree                                        0x11       S    328
   191  0x0007  RedoFree                                        0x11       S    328
   192  0x0007  RedoFree                                        0x11       S    328
   193  0x0007  RedoFree                                        0x11       S    328
   194  0x0007  RedoFree                                        0x11       S    328
   195  0x0007  RedoFree                                        0x11       S    328
   196  0x0007  RedoFree                                        0x11       S    328
   197  0x0007  RedoFree                                        0x11       S    328
   198  0x0007  RedoFree                                        0x11       S    328
   199  0x0007  RedoFree                                        0x11       S    328
   200  0x0007  RedoFree                                        0x11       S    328
   201  0x0007  RedoFree                                        0x11       S    328
   202  0x0007  RedoFree                                        0x11       S    328
   203  0x0007  RedoFree                                        0x11       S    328
   204  0x0007  RedoFree                                        0x11       S    328
   205  0x0007  RedoFree                                        0x11       S    328
   206  0x0007  RedoFree                                        0x11       S    328
   207  0x0007  RedoFree                                        0x11       S    328
   208  0x0007  RedoFree                                        0x11       S    328
   209  0x0007  RedoFree                                        0x11       S    328
   210  0x0007  RedoFree                                        0x11       S    328
   211  0x0007  RedoFree                                        0x11       S    328
   212  0x0007  RedoFree                                        0x11       S    328
   213  0x0007  RedoFree                                        0x11       S    328
   214  0x0007  RedoFree                                        0x11       S    328
   215  0x0007  RedoFree                                        0x11       S    328
   216  0x0007  RedoFree                                        0x11       S    328
   217  0x0007  RedoFree                                        0x11       S    328
   218  0x0007  RedoFree                                        0x11       S    328
   219  0x0007  RedoFree                                        0x11       S    328
   220  0x0007  RedoFree                                        0x11       S    328
   221  0x0007  RedoFree                                        0x11       S    328
   222  0x0007  RedoFree                                        0x11       S    328
   223  0x0007  RedoFree                                        0x11       S    328
   224  0x0007  RedoFree                                        0x11       S    328
   225  0x0007  RedoFree                                        0x11       S    328
   226  0x0007  RedoFree                                        0x11       S    328
   227  0x0007  RedoFree                                        0x11       S    328
   228  0x0007  RedoFree                                        0x11       S    328
   229  0x0007  RedoFree                                        0x11       S    328
   230  0x0007  RedoFree                                        0x11       S    328
   231  0x0007  RedoFree                                        0x11       S    328
   232  0x0007  RedoFree                                        0x11       S    336
   233  0x0007  RedoFree                                        0x11       S    336
   234  0x0007  RedoFree                                        0x11       S    336
   235  0x0007  RedoFree                                        0x11       S    336
   236  0x0007  RedoFree                                        0x11       S    336
   237  0x0007  RedoFree                                        0x11       S    336
   238  0x0007  RedoFree                                        0x11       S    336
   239  0x0007  RedoFree                                        0x11       S    336
   240  0x0007  RedoFree                                        0x11       S    336
   241  0x0007  RedoFree                                        0x11       S    336
   242  0x0007  RedoFree                                        0x11       S    336
   243  0x0007  RedoFree                                        0x11       S    336
   244  0x0007  RedoFree                                        0x11       S    336
   245  0x0007  RedoFree                                        0x11       S    336
   246  0x0007  RedoFree                                        0x11       S    336
   247  0x0007  RedoFree                                        0x11       S    336
   248  0x0007  RedoFree                                        0x11       S    336
   249  0x0007  RedoFree                                        0x11       S    336
   250  0x0007  RedoFree                                        0x11       S    336
   251  0x0007  RedoFree                                        0x11       S    336
   252  0x0007  RedoFree                                        0x11       S    336
   253  0x0007  RedoFree                                        0x11       S    336
   254  0x0007  RedoFree                                        0x11       S    336
   255  0x0007  RedoFree                                        0x11       S    336
   256  0x0007  RedoFree                                        0x11       S    336
   257  0x0007  RedoFree                                        0x11       S    336
   258  0x0007  RedoFree                                        0x11       S    336
   259  0x0007  RedoFree                                        0x11       S    336
   260  0x0007  RedoFree                                        0x11       S    336
   261  0x0007  RedoFree                                        0x11       S    336
   262  0x0007  RedoFree                                        0x11       S    336
