==============================================================================
ReFS Parent-Child Table
==============================================================================
  Image:            win11refs2tspecials.raw
  Partition start:  0x1000000
  Cluster size:     0x1000
  ReFS version:     3.14
  CPC:              0x4000 (shift=15)
  PC Table root:    [0x13604, 0x13605, 0x13606, 0x13607]
  PC Table phys:    [0x3604, 0x3605, 0x3606, 0x3607]
  Page signature:   MSB+

------------------------------------------------------------------------------
Parent-Child Relationships
------------------------------------------------------------------------------
  Total entries:      218
  Unique parents:     99
  Unique children:    218
  Unique OIDs:        219
  Tree roots:         0x600

  Parent         → Child            Parent Name               → Child Name
  0x794          → 0x7ae            Dir/File (0x794)          → Dir/File (0x7ae)
  0x795          → 0x783            Dir/File (0x795)          → Dir/File (0x783)
  0x797          → 0x798            Dir/File (0x797)          → Dir/File (0x798)
  0x798          → 0x79d            Dir/File (0x798)          → Dir/File (0x79d)
  0x798          → 0x7a6            Dir/File (0x798)          → Dir/File (0x7a6)
  0x79c          → 0x7d0            Dir/File (0x79c)          → Dir/File (0x7d0)
  0x79c          → 0x7db            Dir/File (0x79c)          → Dir/File (0x7db)
  0x79c          → 0x7de            Dir/File (0x79c)          → Dir/File (0x7de)
  0x7a2          → 0x7a8            Dir/File (0x7a2)          → Dir/File (0x7a8)
  0x7a2          → 0x7ad            Dir/File (0x7a2)          → Dir/File (0x7ad)
  0x7a3          → 0x7d7            Dir/File (0x7a3)          → Dir/File (0x7d7)
  0x7a3          → 0x7e4            Dir/File (0x7a3)          → Dir/File (0x7e4)
  0x7a8          → 0x7ab            Dir/File (0x7a8)          → Dir/File (0x7ab)
  0x7a8          → 0x7b5            Dir/File (0x7a8)          → Dir/File (0x7b5)
  0x7a8          → 0x7d1            Dir/File (0x7a8)          → Dir/File (0x7d1)
  0x7ab          → 0x7e1            Dir/File (0x7ab)          → Dir/File (0x7e1)
  0x7ad          → 0x7ca            Dir/File (0x7ad)          → Dir/File (0x7ca)
  0x7af          → 0x7bb            Dir/File (0x7af)          → Dir/File (0x7bb)
  0x7af          → 0x7d5            Dir/File (0x7af)          → Dir/File (0x7d5)
  0x7b0          → 0x7b2            Dir/File (0x7b0)          → Dir/File (0x7b2)
  0x7b0          → 0x7ba            Dir/File (0x7b0)          → Dir/File (0x7ba)
  0x7b0          → 0x7c8            Dir/File (0x7b0)          → Dir/File (0x7c8)
