finding,ref_id,overlap,confidence
303,FS_SNAP_RA_001,25,high
304,MD_ATTR_RA_010,22,high
305,MD_SNAP_RA_007,20,high
306,FS_SNAP_RA_001,5,med
307,AP_LGFL_RA_004,7,high
308,FS_SNAP_RA_001,7,high
309,FS_SECD_RA_001,8,high
310,FS_SECD_RA_001,4,med
311,FS_SECD_RA_001,8,high
312,AP_LGFL_RA_004,7,high
313,FS_CHKP_RA_001,10,high
314,MD_SI_RA_003,5,med
315,FS_CHKP_RA_001,7,high
316,CT_ALLC_RA_001,5,med
317,FS_REPS_RA_001,9,high
318,FS_CHKP_005,5,med
319,AP_LGFL_RA_007,33,high
320,AP_LGFL_RA_007,21,high
323,AP_LGFL_RA_007,13,high
327,FS_SCHM_RA_008,7,high
326,CT_INTS_001,4,med
325,FS_SNAP_RA_001,10,high
324,FS_DEL_RA_001,5,med
322,CT_INTS_001,10,high
321,FS_SNAP_RA_001,10,high
328,AP_LGFL_RA_004,8,high
329,AP_LGFL_RA_004,14,high
330,FS_SNAP_RA_001,6,high
331,FS_SCHM_RA_008,6,high
332,AP_LGFL_RA_007,7,high
333,FN_DTBL_003,12,high
334,FS_DEL_RA_001,7,high
335,FS_OTBL_SA_010,7,high
336,FN_DTBL_003,6,high
