path,basename,is_refs,version,cluster,checksum,state,vol_flags,serial,ext_guid,baseline_group,derived,independent,note
analysis/rawdisk/disks/step4/win1123h2test_testchecksum.raw,win1123h2test_testchecksum.raw,True,3.10,4096,CRC64,flags=0x82,0x66,0xd4607668607650ea,set,0xd4607668,False,True,
analysis/rawdisk/disks/step4/win11refs4gattributes.raw,win11refs4gattributes.raw,True,3.14,4096,CRC64,native,0x66,0x5aa9a65aa99944,set,0x5aa9a65a,False,True,
analysis/rawdisk/disks/step4/win11refsmini_testchecksum.raw,win11refsmini_testchecksum.raw,True,3.14,4096,CRC64,native,0x66,0x504a8ba64a8b8804,set,0x504a8ba6,False,True,
analysis/rawdisk/disks/step4/win11refsmini_testchecksum_corrupt.raw,win11refsmini_testchecksum_corrupt.raw,True,3.14,4096,CRC64,native,0x66,0x504a8ba64a8b8804,set,0x504a8ba6,True,False,
analysis/rawdisk/disks/step4/win11toinsiderrefs8g.raw,win11toinsiderrefs8g.raw,False,,,,,,,,,False,False,no ReFS sig
analysis/rawdisk/disks/step4/wininsiderrefs2t.raw,wininsiderrefs2t.raw,True,3.14,4096,CRC64,native,0x66,0xaaf61037f610066b,set,0xaaf61037,False,True,
analysis/rawdisk/disks/step4/wininsiderrefs8gtest2.raw,wininsiderrefs8gtest2.raw,True,3.14,65536,SHA256,native,0x66,0x54709fdd709fc3e0,set,0x54709fdd,False,True,
analysis/rawdisk/disks/step4/winsider.raw,winsider.raw,True,3.14,4096,CRC64,native,0x66,0x54e8dd59e8dd39c6,set,0x54e8dd59,False,True,
analysis/rawdisk/disks/step4continuing/win11refs4gattributestest2.raw,win11refs4gattributestest2.raw,True,3.14,4096,CRC64,native,0x66,0x5aa9a65aa99944,set,0x5aa9a65a,False,True,
analysis/rawdisk/disks/step4continuing/win11refs8gtest4timestamps.raw,win11refs8gtest4timestamps.raw,True,3.14,4096,CRC64,native,0x66,0x4c92fff492ffdffe,set,0x4c92fff4,False,True,
analysis/rawdisk/disks/step4continuing/win11refsmini_afterchangingbootformattimeguid.raw,win11refsmini_afterchangingbootformattimeguid.raw,True,3.14,4096,CRC64,native,0x66,0x504a8ba64a8b8804,set,0x504a8ba6,True,False,
analysis/rawdisk/disks/step4continuing/win11refsmini_afterchangingversion.raw,win11refsmini_afterchangingversion.raw,True,6.66,4096,CRC64,native,0x66,0x504a8ba64a8b8804,set,0x504a8ba6,True,False,
analysis/rawdisk/disks/step4continuing/win11refsmini_afterchangingversion_opened.raw,win11refsmini_afterchangingversion_opened.raw,True,6.66,4096,CRC64,native,0x66,0x504a8ba64a8b8804,set,0x504a8ba6,True,False,
analysis/rawdisk/disks/step4continuing/win11refsmini_afterchangingversion_opened_rechangedtopreviousversionandopened.raw,win11refsmini_afterchangingversion_opened_rechangedtopreviousversionandopened.raw,True,3.14,4096,CRC64,native,0x66,0x504a8ba64a8b8804,set,0x504a8ba6,True,False,
analysis/rawdisk/disks/step4continuing/win11refsmini_afterchangingversion_opened_rechangedtoversion312.raw,win11refsmini_afterchangingversion_opened_rechangedtoversion312.raw,True,3.14,4096,CRC64,native,0x66,0x504a8ba64a8b8804,set,0x504a8ba6,True,False,
analysis/rawdisk/disks/step4continuing/win11refsmini_afterchangingversion_opened_rechangedtoversion312test2.raw,win11refsmini_afterchangingversion_opened_rechangedtoversion312test2.raw,True,3.14,4096,CRC64,native,0x66,0x504a8ba64a8b8804,set,0x504a8ba6,True,False,
analysis/rawdisk/disks/step4continuing/win11refsmini_afterchangingversion_opened_rechangedtoversion315.raw,win11refsmini_afterchangingversion_opened_rechangedtoversion315.raw,True,3.15,4096,CRC64,native,0x66,0x504a8ba64a8b8804,set,0x504a8ba6,True,False,
analysis/rawdisk/disks/step4continuing/win11refsmini_afterchangingvolumeflags.raw,win11refsmini_afterchangingvolumeflags.raw,True,3.14,4096,CRC64,native,0x63,0x504a8ba64a8b8804,set,0x504a8ba6,True,False,
analysis/rawdisk/disks/step4continuing/win11refsmini_afterchangingvolumeflags_opened.raw,win11refsmini_afterchangingvolumeflags_opened.raw,True,3.14,4096,CRC64,native,0x63,0x504a8ba64a8b8804,set,0x504a8ba6,True,False,
