seq,timestamp,action,path,name,oid,opcodes,record_count,plcn,image
72,,MODIFY,/System Volume Information,,0x701,FREE,1,32938,win11refstestmftecmd.raw
73,,MODIFY,/System Volume Information,,0x701,FREE,1,32941,win11refstestmftecmd.raw
74,,MODIFY,/System Volume Information,,0x701,FREE,1,32942,win11refstestmftecmd.raw
75,,MODIFY,/System Volume Information,,0x701,FREE,1,32943,win11refstestmftecmd.raw
76,,MODIFY,/System Volume Information,,0x701,FREE,1,32944,win11refstestmftecmd.raw
77,,MODIFY,/System Volume Information,,0x701,FREE,1,32945,win11refstestmftecmd.raw
78,,MODIFY,/System Volume Information,,0x701,FREE,1,32946,win11refstestmftecmd.raw
79,,MODIFY,/System Volume Information,,0x701,FREE,1,32947,win11refstestmftecmd.raw
80,,MODIFY,/System Volume Information,,0x701,FREE,1,32948,win11refstestmftecmd.raw
81,,MODIFY,/System Volume Information,,0x701,FREE,1,32949,win11refstestmftecmd.raw
82,,MODIFY,/System Volume Information,,0x701,FREE,1,32950,win11refstestmftecmd.raw
83,,MODIFY,/System Volume Information,,0x701,FREE,1,32951,win11refstestmftecmd.raw
84,,MODIFY,/System Volume Information,,0x701,FREE,1,32952,win11refstestmftecmd.raw
85,,MODIFY,/System Volume Information,,0x701,FREE,1,32953,win11refstestmftecmd.raw
86,,MODIFY,/System Volume Information,,0x701,FREE,1,32954,win11refstestmftecmd.raw
87,,MODIFY,/System Volume Information,,0x701,FREE,1,32955,win11refstestmftecmd.raw
88,,MODIFY,/System Volume Information,,0x701,FREE,1,32956,win11refstestmftecmd.raw
89,,MODIFY,/System Volume Information,,0x701,FREE,1,32957,win11refstestmftecmd.raw
90,,MODIFY,/System Volume Information,,0x701,FREE,1,32958,win11refstestmftecmd.raw
91,,MODIFY,/System Volume Information,,0x701,FREE,1,32959,win11refstestmftecmd.raw
92,,MODIFY,/System Volume Information,,0x701,FREE,1,32960,win11refstestmftecmd.raw
93,,MODIFY,/System Volume Information,,0x701,FREE,1,32961,win11refstestmftecmd.raw
94,2026-05-23T06:56:48.351Z,CREATE,OID 0x707,MSI9d8e4.tmp,0x707,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,32965,win11refstestmftecmd.raw
95,,DELETE,/,MSI9d8ea.tmp,0x600,DELETE_ROW DELETE_ROW DELETE_TABLE DELETE_ROW,4,32967,win11refstestmftecmd.raw
96,2026-05-23T06:57:03.273Z,CREATE,OID 0x70b,MSI9d8fc.tmp,0x70b,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,32969,win11refstestmftecmd.raw
97,2026-05-23T06:57:12.988Z,CREATE,OID 0x70c,MSI9d902.tmp,0x70c,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,32970,win11refstestmftecmd.raw
98,2026-05-23T06:57:18.714Z,CREATE,OID 0x70d,MSI9d908.tmp,0x70d,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,32971,win11refstestmftecmd.raw
